# á é í ó ñ ú
telefon		el teléfono         rzeczowniki i rodzajniki
bank		el banco
lampa		la lámpara
fotografia	la fotografía
książka		el libro
mapa		el mapa
piżama		el pijama
planeta		el planeta
problem		el problema
dzień		el día
sofa		el sofá
mleko		la leche
miasto		la ciudad
radio		la radio
uniwersytet	la universidad
klucz		la llave
okno		la ventana
pokój		la habitación
chłopiec	el chico
dziewczynka     la chica
fryzjer		el peluquero
fryzjerka	la peluquera
kucharz		el cocinero
kucharka	la cocinera
nauczyciel	el profesor
nauczycielka	la profesora
dyrektor	el director
dyrektorka	la directora
pilot		el piloto
pilotka		la piloto
model		el modelo
modelka		la modelo
pacjent		el paciente
pacjentka	la paciente
uczeń		el estudiante
uczennica	la estudiante
dziennikarz		el periodista
dziennikarka	la periodista
śpiewak		el cantante
śpiewaczka	la cantante
turysta		el turista
turystka	la turista
mężczyzna	el hombre
kobieta		la mujer
mąż			el marido
żona		la mujer
ojciec		el padre
matka		la madre
aktor		el actor
aktorka		la actriz
król		el rey
królowa		la reina
szef		el jefe
szefowa		la jefa
ekspedient	el dependiente
ekspedientka	la dependienta
lekarz		el médico
lekarka		la médica
przyjaciel	el amigo
przyjaciółka	la amiga
chłopczyk	el niño
dziewczynka		la niña
kelner		el camarero
kelnerka	la camarera
kuzyn		el primo
kuzynka		la prima
pianista	el pianista
pianistka	la pianista
kot			el gato
okulary		las gafas
pies		el perro
kawa		el café
karta dań	el menú
drzewo		el árbol
piosenka	la canción
dzik		el jabalí
ryba		el pez
ryby		los peces
ryba (danie)	el pescado
aktorki		las actrices
sędzia		el juez
sędziowie	los jueces
parasol		el paraguas
parasole	los paraguas
ubrania		la ropa
pieniądze	el dinero
ludzie		la gente
nożyczki	las tijeras
dżinsy		los vaqueros
kino		el cine
zegar		el reloj
film		la pelicula
kamizelka	la camiseta
szklanka	el vaso
kwiat		la flor
uczniowie	los estudiantes
uczennice	las estudiantes
komputer	el ordenador
zeszyt		el cuaderno
długopis	el boli
ołówek		la lápiz
ołówki		las lapices
garaż		el garaje
hotel		el hotel
komórka		el móvil
karta		la tarjeta
leżak		la tumbona
tydzień		la semana
dom			la casa
sytuacja	la situacion
pomysł		la idea
mieszkanie	el piso
sąsiad		el vecino
rower		la bicicleta
jabłko		la manzana
miesiąc		la mes
serial		la serie
samochód	el coche
krzesło		la silla
spodnie		los pantalones
godzina		la hora
lato		el verano
wiosna		la primavera
wakacje		las vacaciones
kurtka		la chaqueta
walizka		la maleta
restauracja		el restaurante
plecak		la mochila
sprawa		el asunto
but			el zapato
firma		la empresa
plan		el plan
samolot		el avión
torebka		el bolso
wyrażenie   la frase
ulica       la calle
drzwi       la puerta
zupa        la sopa
brat        el hermano
siostra     la hermana
ubezpieczenie   el seguro
impreza     la fiesta
wino        el vino
decyzja     la decisión
puchar      la copa
wuj         el tio
ciotka      la tia
czas        el tiempo
bilet       el billete
dług        la deuda
życie       la vida
łóżko       la cama
kolega      el compañero
syn         el hijo
córka       la hija
marker      el rotulador
rodzina     la familia
narzeczony  el novio
narzeczona  la novia
ręka        la mano
szyja       el cuello
portfel     la cartera
spojrzenie  la mirada
danie       el plato
rocznica    el anniversario
obiad       la comida
żółw        la tortuga
moment      el momento
urodziny    el cumpleaños
krowa       la vaca
koza        la cabra
ciastko     la galleta
rzecz       la cosa
kac         la resaca
podróż      el viaje
teść        el suegro
niebo       el cielo
sklep       la tienda
talerz      el plato
szafa       el armario
telewizja   la tele
skarb       el tesoro
stół        la mesa
ten chłopak     este chico          zaimki wskazujące
ta dziewczyna   esta chica
ci chłopcy      estos chicos
te dziewczyny   estas chicas
ten chłopak (2)    ese chico
ta dziewczyna (2)  esa chica
ci chłopcy (2)     esos chicos
te dziewczyny (2)  esas chicas
tamten chłopak      aquel chico
tamta dziewczyna    aquella chica
tamci chłopcy       aquellos chicos
tamte dziewczyny    aquellas chicas
mój kot         mi gato             zaimki dzierżawcze
moja krowa      mi vaca
twój kot        tu gato
twoja krowa     tu vaca
jego kot        su gato
jej krowa       su vaca
nasz kot        nuestro gato
nasza krowa     nuestra vaca
wasz kot        vuestro gato
wasza krowa     vuestra vaca
ich kot         su gato
moi przyjaciele     mis amigos
moje przyjaciółki   mis amigas
twoi przyjaciele    tus amigos
twoje przyjaciółki  tus amigas
otwarty     abierto             przymiotniki
nudny       aburrido
aktywny     activo
wysoki      alto
szeroki     ancho
wąski       estrecho
stary       antiguo
nowy        nuevo
niski       bajo
tani        barato
drogi       caro
ładny       bonito
dobry       bueno
zły         malo
zmęczony    cansado
wygodny     cómodo
krótki      corto
długi       largo
poprawny    correcto
zabawny     divertido
sławny      famoso
ulubiony    favorito
chudy       flaco
gruby       gordo
powolny     lento
nowoczesny  moderno
nerwowy     nervioso
niebezpieczny   peligroso
mały        pequeño
prywatny    privado
szybki      rápido
poważny     serio
sympatyczny     simpático
spokojny    tranquilo
przystojny  guapo
przyjemny   agradable
wesoły      alegre
miły        amable
sztuczny    artificial
gorący      caliente
okrutny     cruel
słaby       débil
trudny      dificil
różny       diferente
słodki      dulce
elegancki   elegante
emocjonujący    emocionante
wyjątkowy   especial
łatwy       fácil
fatalny     fatal
szczęśliwy  feliz
silny       fuerte
fajny       guay
duży        grande
straszny    horrible
ważny       importante
niewiarygodny   increible
inteligentny    inteligente
interesujący    interesante
młody       joven
popularny   popular
możliwy     posible
odpowiedzialny  responsable
smutny      triste
niegrzeczny     travieso
chory       enfermo
blond       rubio
głupi       tonto
obrażony    enfadado
podekscytowany   ilusionado
podniecony  excitado
brudny      sucio
leniwy      vago
pusty       vacio
zachmurzony   nublado
zamknięty    cerrado
czysty       limpio
zadowolony   contento
żonaty       casado
zakochany    enamorado
brunet       moreno
cudownie    maravillosamente             przysłówki
idealnie    perfectamente
dokładnie   precisamente
ostatnio    últimamente
ciekawie    curiosamente
cicho       silenciosamente
łatwo       fácilmente
trudno      dificilmente
wyjątkowo   excepcionalmente
ostrożnie   prudentemente
dobrze      bien
źle         mal
głośno      alto
cicho       bajo
tanio       barato
drogo       caro
szybko      rápido
wolno       lento
jasno       claro
mocno       fuerte
silnie      fuerte
umyślnie    adrede
w ten sposób    así
powoli      despacio
późno       tarde
wcześnie    temprano
poważny     grave
ogólnie     general
uważny      atento
z góry      de antemano
przypadkiem     por casualidad
na głos     en voz alta
po cichu    en voz baja
biegusiem   de prisa
zawsze      siempre
dalej       más
tutaj       aquí
tam         alli
dzisiaj     hoy
jutro       mañana
pojutrze    pasado mañana
wczoraj     ayer
przedwczoraj    anteayer
wszystko    todo
blisko      cerca
daleko      lejos
w dobrym humorze   de buen humor
w złym humorze     de mal humor
bardzo      muy
w           en                  przyimki
z           de
bo          porque
gdzie       dóndez
ale         pero
przy        por
być dobrym          ser bueno       ser czy estar?
być pysznym         estar bueno
być atrakcyjnym     estar bueno
być bogatym         ser rico
być pysznym         estar rico
być zadufanym w sobie   ser orgulloso
być dumnym z         estar orgulloso de
być bystrym         ser listo
być gotowym         estar listo
być nudnym          ser aburrido
być znudzonym       estar aburrido
być otwartym        ser abierto
być otwartym (dosłownie)    estar abierto
być zamknięty w sobie       ser cerrado
być zamkniętym (dosłownie)      ser cerrado
być jasnego koloru          ser claro
być jasnym                  estar claro
być brunetem                ser moreno
być opalonym                estar moreno
być wolnym (człowiekiem)    ser libre
być wolnym (przestrzeń)     estar libre
być koloru czarnego         ser negro
być wkurzonym               estar negro
być koloru zielonego        ser verde
być niedoświadczonym        estar verde
być czerwonego koloru       ser rojo
być zaczerwienionym         estar rojo
być białego koloru          ser blanco
być bladym                  estar blanco
